theta,unattCRF,attCRF
-91,4.0522062982315,4.72521829943188
-90,4.15343735534347,4.84326180496607
-89,4.25601999139017,4.96288134346922
-88,4.35993074314041,5.08404955475597
-87,4.46514449298542,5.20673714953277
-86,4.57163445698548,5.3309128954604
-85,4.67937217489148,5.45654360551929
-84,4.78832750220364,5.58359412875036
-83,4.89846860432723,5.71202734344106
-82,5.00976195288266,5.84180415282337
-81,5.12217232422425,5.97288348334759
-80,5.23566280021981,6.10522228559198
-79,5.35019477133912,6.23877553786488
-78,5.46572794209697,6.37349625255237
-77,5.58222033889247,6.50933548526009
-76,5.69962832028313,6.64624234679406
-75,5.81790658972811,6.78416401802072
-74,5.9370082108314,6.92304576764209
-73,6.05688462511158,7.06283097291683
-72,6.17748567232048,7.20346114335368
-71,6.298759613329,7.34487594739818
-70,6.42065315559371,7.4870132421287
-69,6.54311148121318,7.62980910597229
-68,6.66607827757875,7.77319787444573
-67,6.78949577061904,7.91711217892094
-66,6.9133047606333,8.06148298840921
-65,7.03744466070312,8.20623965435179
-64,7.16185353766754,8.35130995839954
-63,7.28646815564099,8.49662016315778
-62,7.41122402204896,8.64209506586667
-61,7.53605543615054,8.78765805498155
-60,7.660895540012,8.93323116961133
-59,7.78567637189068,9.07873516176724
-58,7.91032892198263,9.22408956136794
-57,8.0347831904827,9.36921274394102
-56,8.15896824790045,9.51402200095489
-55,8.28281229757005,9.65843361270884
-54,8.40624274028737,9.80236292370364
-53,8.52918624100213,9.94572442040842
-52,8.65156879748862,10.0884318113344
-51,8.77331581091271,10.2303981093203
-50,8.8943521582091,10.3715357159276
-49,9.01460226617731,10.5117565078413
-48,9.13399018720074,10.650971925162
-47,9.25243967648886,10.7890930614745
-46,9.36987427073782,10.9260307555706
-45,9.48621736810149,11.0616956846991
-44,9.60139230936014,11.1959984592137
-43,9.71532246017116,11.3288497184808
-42,9.82793129428195,11.4601602279108
-41,9.9391424775823,11.5898409769674
-40,10.0488799528704,11.7178032780094
-39,10.1570680252037,11.8439588658137
-38,10.2636314477028,11.9682199976283
-37,10.3684955076761,12.0904995535975
-36,10.4715861129279,12.210711137401
-35,10.5728298781125,12.3287691769492
