Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	PresentedDurFrames	PresentedDurMs	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	LateralShiftDir	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
339	SubfieldSwap_AperSweep_Ap25_v1	CUED	0	135	135	7	7	61	68	95	101	163	6	66.667	1670164243	1302854564	578342932	38172279	R	N	Da			XR Controller	7F9143F7	18E36AFB	E9223BFB			
340	SubfieldSwap_AperSweep_Ap25_v1	CUED	1	0	0	2	6	61	68	95	107	163	12	133.333	1353488454	695098951	833699824	947812327	R	N	Db			XR Controller	73C6E483	420BC5FB	E9223BFB			
341	SubfieldSwap_AperSweep_Ap25_v1	CUED	0	270	180	6	4	66	68	95	97	163	2	22.222	1810804490	35319894	1170723514	1279278031	R	N	N			XR Controller	A00AA63F	2F6FECFB	E9223BFB			
342	SubfieldSwap_AperSweep_Ap25_v1	CUED	0	180	315	3	3	63	68	95	103	163	8	88.889	150446604	424055279	1845004556	1550619516	G	N	D			XR Controller	40D9EDBB	FF1A6CBB	E9223BFB			
343	SubfieldSwap_AperSweep_Ap25_v1	CUED	1	90	90	0	8	66	68	95	103	163	8	88.889	1242582961	983772469	1359916073	1635513490	G	N	Da			XR Controller	9C69EE9B	71FFFA3B	E9223BFB			
344	SubfieldSwap_AperSweep_Ap25_v1	CUED	1	135	135	7	7	78	68	95	107	163	12	133.333	1617881846	1441090250	1064084768	470969834	G	N	D			XR Controller	C74AD503	FF1A6CBB	E9223BFB			
345	SubfieldSwap_AperSweep_Ap25_v1	CUED	0	45	45	1	9	68	68	95	111	163	16	177.778	1060563310	2077965441	914376844	1101746382	G	N	Da			XR Controller	BA08EF0B	71FFFA3B	E9223BFB			
346	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	0	225	90	0	8	64	68	95	97	163	2	22.222	441903950	1760426696	84431200	803692312	R	N	Da			XR Controller	C2758637	18E36AFB	E9223BFB			
347	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	225	90	0	8	57	68	95	117	163	22	244.444	1692323776	1078409223	1877023163	1221222974	R	N	Db			XR Controller	99B3F537	420BC5FB	E9223BFB			
348	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	0	0	2	6	79	68	95	117	163	22	244.444	159468678	1341529825	848569975	1648380412	G	N	N			XR Controller	49DA2E47	16FE68BB	E9223BFB			
