Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
92	DepthBothPlanes	CUED	1	135	135	7	7	85	56	78	84	114	1218779891	580711751	1774116822	95817869	G	N	N		XR Controller	CB090948	083E616C	97C666DC			
93	DepthBothPlanes	CUED	1	315	315	3	3	91	56	78	84	114	188332506	1922088790	1829915209	59935786	G	F	N		XR Controller	CB090948	083E616C	888B2CCC			
94	DepthBothPlanes	UNCUED	1	90	135	7	7	129	56	78	84	114	277576236	461533472	1051128701	735540783	G	F	N		XR Controller	67DD8480	083E616C	888B2CCC			
95	DepthBothPlanes	CUED	0	225	225	5	1	86	56	78	84	114	1531961745	1197069105	16303795	776385168	G	N	N		XR Controller	6CBED730	083E616C	97C666DC			
96	DepthBothPlanes	CUED	0	135	135	7	7	86	56	78	84	114	469054586	268936062	1937401348	1519414322	R	N	N		XR Controller	6CBED730	BC9E36AC	97C666DC			
97	DepthBothPlanes	UNCUED	0	90	90	0	8	75	56	78	84	114	359407482	1401436224	2132665801	1772331559	G	N	N		XR Controller	F088AE08	083E616C	97C666DC			
98	DepthBothPlanes	CUED	1	135	135	7	7	88	56	78	84	114	982680778	1852507620	368426181	111864336	G	F	N		XR Controller	CB090948	083E616C	888B2CCC			
99	DepthBothPlanes	UNCUED	0	270	45	1	9	123	56	78	84	114	652987387	1644675292	415736418	1380993743	G	F	N		XR Controller	F088AE08	083E616C	888B2CCC			
100	DepthBothPlanes	UNCUED	1	90	45	1	9	77	56	78	84	114	1521181225	772063496	563372753	663191362	R	N	N		XR Controller	67DD8480	BC9E36AC	97C666DC			
101	DepthBothPlanes	UNCUED	1	270	225	5	1	90	56	78	84	114	297570440	1233040359	1087067745	1615086547	R	F	N		XR Controller	67DD8480	BC9E36AC	888B2CCC			
