Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	SwapType	EndKey	Device	MkHash32	ColorHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes
57	Dots50Swap	CUED	0	225	45	1	9	75	56	78	84	114	1724483547	961460132	761066938	25636111	G	D		XR Controller	CEA60E30	03DC50EC		
58	Dots50Swap	CUED	0	180	180	6	4	199	56	78	84	114	1673763745	2066962385	1110642744	1822083828	R	N		XR Controller	6CBED730	BC9E36AC		
59	Dots50Swap	UNCUED	1	225	270	4	2	87	56	78	84	114	840313041	421749635	388501608	1858591144	G	D		XR Controller	E039A330	03DC50EC		
60	Dots50Swap	CUED	0	225	225	5	1	75	56	78	84	114	859887151	1277081847	1445414686	1742388466	R	D		XR Controller	CEA60E30	D797592C		
61	Dots50Swap	UNCUED	1	180	315	3	3	81	56	78	84	114	856183120	197111607	1381451632	1535845590	R	N		XR Controller	67DD8480	BC9E36AC		
62	Dots50Swap	UNCUED	1	45	135	7	7	75	56	78	84	114	1274316723	1240175390	1569345207	1801830933	R	D		XR Controller	E039A330	D797592C		
63	Dots50Swap	CUED	0	135	135	7	7	94	56	78	84	114	1092744181	1465194370	1873833690	1097562943	R	D		XR Controller	CEA60E30	D797592C		
64	Dots50Swap	CUED	0	0	0	2	6	105	56	78	84	114	1962366691	1134289532	1841708619	1562116435	R	D		XR Controller	CEA60E30	D797592C		
65	Dots50Swap	CUED	0	135	270	4	2	94	56	78	84	114	1583748376	1668480431	634948428	151193476	G	N		XR Controller	6CBED730	083E616C		
66	Dots50Swap	CUED	1	0	180	6	4	117	56	78	84	114	2137485298	2092309931	451374981	830793771	G	D		XR Controller	7BBB5D28	03DC50EC		
67	Dots50Swap	CUED	0	135	180	6	4	80	56	78	84	114	709866412	879518395	1503221634	1405163058	R	N		XR Controller	6CBED730	BC9E36AC		
68	Dots50Swap	UNCUED	0	90	45	1	9	136	56	78	84	114	1573840809	1969528424	707184946	1854806740	G	N		XR Controller	F088AE08	083E616C		
69	Dots50Swap	UNCUED	0	315	315	3	3	82	56	78	84	114	1118943519	494114317	987329380	547966251	G	N		XR Controller	F088AE08	083E616C		
70	Dots50Swap	CUED	1	135	135	7	7	94	56	78	84	114	700496099	509532799	1830644908	858815723	G	N		XR Controller	CB090948	083E616C		
71	Dots50Swap	CUED	1	315	315	3	3	84	56	78	84	114	1742635936	441380320	1697101714	161296890	G	D		XR Controller	7BBB5D28	03DC50EC		
72	Dots50Swap	CUED	1	135	135	7	7	91	56	78	84	114	457828691	883412755	1819429816	1515967006	R	N		XR Controller	CB090948	BC9E36AC		
73	Dots50Swap	UNCUED	0	90	45	1	9	88	56	78	84	114	1216582089	1346769420	2128240285	1769927894	G	D		XR Controller	1CE20318	03DC50EC		
74	Dots50Swap	CUED	1	0	315	3	3	97	56	78	84	114	770218153	1303693731	2111120510	2131338371	G	N		XR Controller	CB090948	083E616C		
75	Dots50Swap	CUED	1	180	135	7	7	116	56	78	84	114	71699672	1609124008	168385	596850401	R	N		XR Controller	CB090948	BC9E36AC		
76	Dots50Swap	CUED	1	225	225	5	1	90	56	78	84	114	1290352699	765743995	2059472889	1393417675	R	N		XR Controller	CB090948	BC9E36AC		
77	Dots50Swap	UNCUED	1	90	0	2	6	89	56	78	84	114	868025551	1737180519	124658910	493386737	R	D		XR Controller	E039A330	D797592C		
78	Dots50Swap	CUED	0	225	225	5	1	79	56	78	84	114	357753817	1924590199	1571282845	794212558	R	N		XR Controller	6CBED730	BC9E36AC		
